temp,pressure,humidity,precipitation,cloud,gust,condition
22.9,1012.0,59,0.0,52,29.0,Clear
22.7,1012.0,58,0.0,47,26.3,Clear
22.4,1012.0,62,0.0,50,24.0,Clear
22.0,1012.0,67,0.03,53,21.7,Chance of rain
29.0,1009.0,80,0.0,15,20.2,Clear
28.9,1009.0,80,0.0,23,19.7,Clear
28.8,1008.0,81,0.03,32,19.2,Chance of rain
28.7,1008.0,81,0.04,40,18.7,Chance of rain
28.7,1008.0,81,0.02,53,17.9,Chance of rain
28.7,1008.0,81,0.07,66,17.0,Chance of rain
28.7,1008.0,81,0.09,79,16.2,Chance of rain
29.0,1008.0,79,0.04,74,16.0,Chance of rain
29.3,1009.0,78,0.03,69,15.7,Clear
29.6,1009.0,76,0.04,64,15.5,Clear
30.3,1009.0,73,0.02,56,15.4,Clear
30.9,1009.0,70,0.03,47,15.2,Chance of rain
31.6,1009.0,67,0.04,39,15.1,Chance of rain
31.7,1008.0,67,0.02,52,16.1,Chance of rain
31.8,1007.0,66,0.27,64,17.0,Chance of rain
31.9,1007.0,66,0.36,77,18.0,Chance of rain
31.4,1007.0,69,0.18,79,19.3,Chance of rain
30.8,1006.0,72,0.7,82,20.6,Rainy
30.3,1006.0,74,0.93,84,22.0,Rainy
29.9,1006.0,76,0.47,81,21.0,Rainy
29.6,1007.0,78,0.57,77,20.0,Chance of rain
29.2,1007.0,80,0.76,74,19.1,Chance of rain
29.1,1007.0,81,0.38,73,18.0,Chance of rain
29.0,1008.0,81,0.03,72,16.9,Chance of rain
28.9,1008.0,82,0.04,71,15.8,Chance of rain
28.8,1008.0,82,0.02,69,15.6,Chance of rain
28.7,1008.0,82,0.03,68,15.4,Clear
28.6,1008.0,83,0.04,66,15.1,Clear
28.6,1007.0,82,0.02,64,14.3,Clear
28.6,1007.0,82,0.07,62,13.4,Chance of rain
28.6,1007.0,82,0.09,60,12.6,Chance of rain
28.9,1008.0,80,0.04,64,12.7,Chance of rain
29.3,1008.0,78,0.17,69,12.8,Chance of rain
